feature,gain,split,combined
KLOW2,0.004080393785593225,0.005166666666666667,0.004406275649915257
VSUMP30,0.004339351727608699,0.0045,0.0043875462093260886
VSTD10,0.003453311879734699,0.0065,0.004367318315814289
VMA30,0.004258650321339756,0.0045,0.004331055224937829
成交量,0.0035127417335931036,0.006166666666666667,0.004308919213515172
WVMA5,0.00449699112668455,0.0036666666666666666,0.0042478937886791844
QTLD60,0.004399656260367142,0.003833333333333333,0.004229759382256999
VSUMD10,0.003976401846646751,0.0045,0.0041334812926527255
MA60,0.004765983754491715,0.0025,0.004086188628144201
return_5,0.004468679950302199,0.0031666666666666666,0.004078075965211539
KUP2,0.004232366933294644,0.0036666666666666666,0.004062656853306251
IMXD20,0.0033249471794184787,0.005666666666666667,0.004027463025592935
STD10,0.003436245971410156,0.005333333333333333,0.004005372179987109
MA20,0.004060502483033985,0.0031666666666666666,0.0037923517381237893
MIN30,0.0033115421889109826,0.004833333333333334,0.0037680795322376876
VSUMP5,0.0032261807908656585,0.004833333333333334,0.003708326553605961
VMA10,0.003438684170791178,0.004333333333333333,0.0037070789195538245
ROC20,0.003840098227256166,0.0033333333333333335,0.003688068759079316
RSV10,0.004167897827574343,0.0025,0.0036675284793020397
HIGH0,0.003089571720425597,0.005,0.0036627002042979176
SUMP60,0.003703389911492314,0.0035,0.00364237293804462
VSUMN10,0.0028975542171383547,0.005,0.0035282879519968483
ROC30,0.003487620346292041,0.0035,0.0034913342424044286
QTLU30,0.004091670216890113,0.0018333333333333333,0.003414169151823079
KLEN,0.0030178547750484685,0.004333333333333333,0.003412498342533928
VSTD30,0.0026743390789503245,0.005,0.003372037355265227
VMA5,0.002939977313878576,0.004333333333333333,0.003357984119715003
SUMN60,0.003634512868080765,0.0025,0.0032941590076565356
QTLU10,0.003289164909159479,0.0031666666666666666,0.003252415436411635
QTLU20,0.0032734969691668118,0.003,0.003191447878416768
MIN10,0.0026949585285069946,0.004166666666666667,0.003136470969954896
BETA10,0.0024206390281608643,0.004666666666666667,0.0030944473197126047
SUMP10,0.002790954991152842,0.0036666666666666666,0.003053668493806989
QTLU60,0.0032011171301969308,0.0026666666666666666,0.0030407819911378513
ema_26,0.002880217159432782,0.003,0.0029161520116029477
MA5,0.0029728171728816643,0.0026666666666666666,0.002880972021017165
VSUMD30,0.002517832243515596,0.0036666666666666666,0.0028624825704609167
KUP,0.0021413890361757478,0.0045,0.0028489723253230233
振幅,0.0027575715234345677,0.003,0.0028303000664041972
MA10,0.0026015536743986952,0.0033333333333333335,0.0028210875720790863
IMXD10,0.0023574450799377067,0.0035,0.0027002115559563947
SUMN20,0.0023501878168055708,0.0035,0.0026951314717638996
sma_20,0.0020704974567860956,0.004,0.0026493482197502667
